sentiment,content
0,Para   qu no soy tan duro ... Hay algo peor que #messi .... Y es a propaganda de #movistar !!
0,si @telcel me manda otro estúpido mensaje de promoción al celular iré a metérselos por el CU%&amp;
0,AAAAAA QUIERO METER UNA TARJETA DE MENSAJES DESD.AYER Y NADA Q AGARRA MOVISTAR!!
1,"Felicidades a @Telcel xq despues de hacerme prdr mi tiempo durante 1 mes y hacerme pagar sin recib el serv, me dieron soluc, bravo! hurra!"
1,"Cafe del Starbucks con Yolistli, espero que no pase del viernes... y que @hanaseiryu no crea que se me ha olvidado su comida China"
0,"Tontamente cambie @telcel por sus promesas de mejor servicio @NextelMX, y ya contratado imposible cancelar solo son ganchos"
0,"ya me están fastidiando los de Movistar, tendré que llamar al 1004...cómo me sigan fastidiando me cambio de compañía!"
1,Simpatiquísimos los 5 que atienden en el agente autorizado Movistar del tolón. #NOT
0,Como un pueblo remoto puede tener buena señal del movistar? Y la ciudad no?
0,"una vez más, el internet de 50 centavos de Telmex está fallando #Telmexsucks"
1,El piloto F1 de Escudería Telmex @checoperez17 se ubica como el mejor novato en la temporada
0,Al parecer la falla del servicio de internet y datos en MOVISTAR es a nivel nacional... Quien más presenta este problema?
0,Pero como ya no soy telcel..ahora el qe me ilusiona es 116 o 265  el 2do. siempre es para cobrarme hahaha
0,"Conseguí como hacer para que mi cel movistar funcione el internet perfectamente, me conecte a un wi-fi ^^"
0,"via @DanielBRH: Hoy La empresa MOVISTAR demostro la poca importancia que nos dan a nosotros los usuarios, ya que sea cual sea la causa del"
0,"Es mi teléfono o la pinche red #telcel anda bien culera hoy? Bueno, más de lo normal."
0,Ahora con mi nueva conexion de @Telmex vere #nerdcorelive en modo burgues
0,"Yo ya me he ido a #Jazztel, pero si tenéis #Movistar y #YouTube os va mal, probad esto: http://bit.ly/rrI82f"
0,Queria enviar un mensaje pero FAVOR DE ABONAR UNA FICHA AMIGO TELCEL aaa! jodete! .l. jaja se me acabo el saldo -.-
0,"Vips, Toks yCalifornia enfrentan crisis frente a Starbucks y Chillis pesé a precios 20% más altos. A consumir lo nacional, chavos!!"
1,Aaay el sillon de starbucks me esta haciendo ojitos p/ k me acueste a dormir un ratito jaja tengo sueño! Lo bueno es k iba a descansar ayer
0,Sinceramente pense que mi calidad de sin enojo mejoraria pero con a red de telcel mejor lo olvido :)
1,me encanta movistar hoy
1,"la proxima vez q viaje fuera, voy a comer en en McDonalds, Chilli's, Starbucks y Krispy Kreme... porfin sabre lo que es ser puertorriqueño!"
0,"http://t.co/zraLtXf Por esto y mucho más, me cago en Telmex."
0,Y ahora que me acuerdo anoche la señal de #Telmex se daño y esta mañana me desperte y sigue dañada #Fail y los de @TELMEXSoluciona Si bien
0,"Ya decía yo que @Telcel nomas me emociono, le mande DM con mi queja y zaz puura de aire!!!!"
0,De que sirve que tenga internet infinitum si no sirve y no puedo navegar! 10 dias sin internet pero bien cobrados! Obvio! C.c.p. @telmex
0,Los putos de telcel bloquearon heywire hijos de putaaa!!!!
1,Yucatán: Resaltan Telmex y Gobierno yucateco valores educativos http://bit.ly/nxryDp
1,"Confirmado! Los que tienen linea MOVISTAR manden al 8950 un sms con la palabra DATOS y uno al 514 con la palabra VOZ, obtendrán un bono!"
0,"Me quejo que telcel me deje sin internet, cuando hay niños en Zimbawe(creo que asi es) que se mueren de hambre"
0,Movistar cabrones hijos de puta mentirosos q no saben lo q significa una puta tarifa plana estafadores! Asqerosos! Y aun no me qedo a gusto!
0,Movistar sabes que te estaba odiando!
0,#telcel te odio ... Con odio jarocho
0,Es bonito que te despierten con un mensaje pero es horrible cuando el que lo envía es Movistar.
0,Pqe el internet de mi casa es tan pote? Ah si pqe es movistar --'
1,Si aqui en venezuela colocaran al menos 1 starbucks Yo seria Feliz :D
1,"Viendo el Uruguay Vs Brasil, gracias Blackberry de @Iusacell, definitivamente la conexion más rapida... http://twitpic.com/5modbg"
0,"De verdad, de verdad que odio los mensajes de Movistar. Son crueles hasta decir basta"
0,"HOygan!! kieren saber como termino mi viaje al soporte tecnico de iusacell? lean esto http://bit.ly/mfeDm , rt x fas"
1,Eso!!@marielajfn26: @Presid_Movistar BUEN DIA EXCELENT GRACIIIIAS YA TENGO MIS MEGAS DE REGALO ME SIENTO SATISFECHA DE PERTENECER A MOVISTAR
0,Movistar no se entera de nada :P He llamado para que me liberen el iPhone (sin haber pagado la multa) y no me han puesto pegas :P
0,Pinche servicio de internet de telmex es una porquería está lentisssssssssimo
0,No confió en el servicio HD de #TELMEX !!
1,"Starbucks me acaba de regalar un café, me aliviaron la espera"
0,"Los anuncios de movistar y derivados de timofonica son cutres, estupidos y sin gracia."
0,"iPad2 3G $11,500, iPhone 4 jail $12,499 Hp TouchSmart 16,500.Que NO tengas internet porque #Telmex no arregla tu linea NO TIENE PRECIO #kpm"
0,ODIO A MOVISTAR!!!
0,Pinche megacable no se ve ningun canal pero eso si el que se ve es donde se ve la programación que tienen malditos
0,Movistar me acaba de cagar el d’ÛÎ_a ’äÎŒ’äÎŒ http://y.ahoo.it/UwppTB9W
0,Gracias a movistar no pudimos ller esto ayer / RT @andieaguilera: HOY en la @Zona058 presentamos a @channelband (cont) http://tl.gd/bmhs7b
0,Hoy movistar a estado de un calembe.... Bueno maj de lo normal #QeMunga :)
0,Telcel Un celular q nos vendieron no funcionaba y tuvimos q esperar hasta q venció el plazo para que nos dieran otro. Eso si cobran muy bien
0,vaína si ?RT @soyunbarroso: Que verga tan arrecha con Movistar y estos megas que no me duran ni medio día.
0,"Ya estoy bien harta de la conexcion de internet de telmex, me llaman para ver que pasa, pero no me dan solucion, ni lo que pago!"
1,aaa vamos a ver si me llevan a starbucks
0,"Cortamos Movistar x mal servicio y cobros indebidos. Mi viejo quiso reponerlo por Copa América y le dijeron: No, está castigado x 3 meses."
0,Ya estoy mamado de Telmex antes tenían un excelente servicio ahora lo estoy dudando mucho ?
0,movistar asi o mas mierdero? ni equipos tienen :s
1,#FF para @Presid_Movistar por su gran desempeño en Movistar :D
0,Maldito telcel que no manda mis pins a @iitziieCordova desde las 5pm D:
1,"Que bueno que voy a estar cerca de un Starbucks, tengo que pasar y agarrar provisiones de edulcorante"
0,#Telcel me has dejado pobre..!! #TuMuyMal jajaja
0,mejor me cambio a TELCEL por que en MOVISTAR  no me cortan en una llamadas : ose cuando se termino
0,@sof_roso: Definitivamente el PEOR servicio en mexico lo encuentras en #thehomedepot//// no el peor es en @telcel
0,Desde que #claro compro #telmex este servicio es una #mierda...
0,Movistar me va sacar canas azules.
0,"Estoy jodido, sin #Telmex sin #Infinitum y mi #Iusacell trabaja como si el internet fuera de conexion telefonica de los 90,s #nomamar"
0,por fin me libre de la asquerosidad de servicio de @telcel eso merece un festejito jijiji
0,Movistar decide ponerse idiota justo ahora.
1,Ganadores de premios MOVISTAR en la Plaza Alfredo Sadel disfruta  todos los partidos de fútbol http://twitpic.com/5n80b4
0,Movistar te odio te odio te odio te odio
1,Llamadas y mensajes gratis los fines de semana en Movistar http://goo.gl/RTh4f
0,Î�Î�Î�Î�Batista pone al nenito de la propaganda de Movistar QUE LA ROMPE !!!!!
0,ah me re lleva la chingada con @iusacell que no me dan mi nip de portabilidad para cambiarme de compañia!!
0,TODO EL DIA LLAMANDO A MOVISTAR Y NO T ATIENDEN! Y EN CASA CENTRAL (SAN JUAN) T DICEN FUE UN ERROR EN EL SISTEMA!
1,"La información más relevante del día, hoy a las 8:30 pm con Mario Romero, canal 210 de MEGACABLE."
0,#Netflix llegará a México!! yey!!! bye Megacable!! jejeje
0,"Está ganando mi mal humor por la falta de #plandedatos de #telcel, así que se me hace que me voy a ir a mi casa a rumiar mi enojo."
0,Puto Telcel te odio
0,"Oye @Telmex, tengo que rogarles para que me instalen una linea nueva??? que les da lo mismo que la gente los contrate?? #PESIMOSERVICIO"
1,"Jala pero no te guindes won! RT @Indiferencia: #LoMejorDelBicentenario, los sms gratis de Movistar hasta laŠ—_ (cont) http://deck.ly/~bBH4U"
0,"3G de TELCEL hoy un verdadero fiasco, espero que me repongan mi día!.. #TELCELCHAFA"
1,El Parque Tecnológico de Fuente álamo y Movistar crean un nuevo espacio para los desarrolladores de tecnologías móviles
0,"Cómo saltarse el capado de Telefonica a Youtube http://t.co/61EZ6oK Juro que a mi me pasaba,y la gente no se creía que no pudiera ver YTB"
0,"Ojala y movistar no lo agarre el gobierno, porque hay si es verdad que se acabo movistar"
1,TRIPLE SALDO MOVISTAR En Recargas Electrónicas desde Q10 / DOBLE SALDO PLAN JUSTO desde Q10 este Sábado 8 de Julio... http://fb.me/FrLumE8L
0,good night! Pero antes #telcel eres una shit! Cada dia te odio mas!
1,A disfrutar de mi tarde y de un café a @Starbucks con mi amiga @MillyCafeina!!! :) xoxo
0,verga or que mi cel es mas loque esta sin servicio que lo que sirve Š—“@anahicq: @el_yerbatero movistar no sirve eso es lo que pasa .....Š—�
0,Telmex como que pago bien la publicidad porque esas jugaditas no quieren salir de arribita jejejejeje
0,ah me cago en telmex
0,Jajajaja... No es solo el tuyo!!RT @seXcape: Menos mal que ya tengo EDGE y ya puedo Twittear que Movistar es un verdadero pupú de perro.
0,Con razón. Me quede herida. RT @FabiGraterol92: Asi es como Movistar me deja sin MB! Sufro...
1,"Quiero un StarBucks en Venezuela, period."
0,"De noche y de dia.. la banda ancha de TELMEX esta fallando en la costa oaxaqueña, no es posible que no tengamos conectabilidad efectiva"
0,Por q tanta cola en telcel....esta de wueba!!!
0,"Llevo 3 días y 7 maneras distintas de pagarle al señor Movistar. Y sigo como Argentina, aislado del mundo."
0,Buenos dias fia! Yo bien! Ayer movistar no tuvo salida! Toda la red mala. Yo bien. Hoy trando de cocinar una comida de mariscos.
1,Si hacen #twittgdl por que no hacer #twittdf y que patrocine @pumamexico @HpnotiqMX @Telcel y demás seria como la posada
0,No te imaginas toda historia de terror q hay detras.. RT @xrea84: Maldito Movistar!!! No puede ser q este tan mala la senal ...
0,bueno pero que pasa con movistar? es con todo el mundo o soy yo la unica que no tengo señal e internet desde ayer?
0,#Tipo que me despierta un mensaje de Telcel.! #NoMamar! :@
0,"No, ahora no es solo movistar, ahora es movistar y el wi-fi, que shitttttt !!!"
0,"Che Telcel, no me ha dejado ni tuitear ni facebukear a gusto. El servicio de internet es pésimo."
0,"Con el Hospital de Boca del Río, habrá niños que nazcan en este municipio. @Salvador_Manzur por canal 210 de #megacable con @maryjosegamboa"
0,"Me cortaron el BB, telcel deberia cerrar mas tarde -.-"
0,Me tiene con fatiga la operadora de movistar
0,Gracias @Telcel por haberme dejado ya por más de 12 horas sin red...
0,Aaaaaaaaaaaah me caga!!!!!!! #Telcel te odio!!!!! Ya no se pueden mandar mensajes por #HeyWire a Telcel..
0,"#Telmex y #Olímpica , acaban de perder un cliente! Pésimo servicio. Gracias por nada."
1,"Primeró iré a Starbucks, aunque sea por un popote, el chiste es despegarme del ex-mayor en Foursquare #IHaveNoLife http://twitpic.com/5ma8sh"
0,esperamos q movistar atarpe este vagabundo de contratista de la gobernacion de aragua por muchas personas sufrimos mal servicio de la red 3G
1,café mas galleta de Starbucks = buen desayuno y buen humor
1,"De buenas que de Movistar me marco una señorita, porque si me marcaba un hombre... Mas me enojaba!"
0,"Peleando otra vez con #Movistar, otra vez sus cuentas y las mías no cuadra!!!"
0,"Y ya te creces solo por q compras tu cafesito de 50 varos en @starbucks, y faroleas tu vasiito todo el dia #decerebrado"
1,"SMS libres para cualquier operadora, solo debes marcar desde tu movistar 8986+04XX+ el numero @Presid_Movistar Feliz Bicentenario"
0,#skype es una buena opción para no pagarle a TELMEX
0,"PTM :@ Pinche Telcel,le acabo de poner saldo y dicen que tu saldo amigo se ha agotado .i."
1,quiero un @starbucks
1,Buena esa!!! paaapi move el cable alla q los pin no quieren salir #Movistar =)
1,Movistar me regalo 40 bfs pueden creer eso? Yo no
0,"Puta cobertura telcel, podrian estarme violando, asaltando, secuestrando aqui y mi celular sin señal!"
0,un movistar generoso q me tranfiera 2 bolos fuertes :$
0,Reiniciando el portátil del curro... recordemos juntos al imbécil que decidió que la 3G USB de Movistar estaba lista para vender...
1,Pues no está nada mal la happy hour del Starbucks... para ir de vez en cuando a por un frappuccino :)
1,"Después de una mañana de información, un almuerzo con toda la fuerza comercial de Canarias d #Movistar #megustamitrabajo http://t.co/gCybivb"
0,Me Desperte por que me llego un mensaje super romántico decía: oferta TELCEL recarga tu saldo por...-.- me levanto!
1,Oralee! Como? RT @Syn_Van_Der_Sar: #YoConfieso q me emocione pq hoy en @Starbucks me gane un frappe :D!!
0,"Bien me decía mi madre: Mijo, las drogas son malas, nunca te metas en eso. Y ahí voy de pendejo a telcel."
1,Al fiin en Casaaa!!! =D y cn movistar en orden
0,"Starbucks le pone mil huevadas al café para que creamos que es buen café... Î�y le creemos! No jodas pues, el café allí es una mierda."
1,Movistar invita a la premiación del concurso periodístico interuniversitario ETECOM mañana a 12h00 en el Hotel Plaza Grande @tctelevision
0,"Bueno, si no funciona su Wi-fi...  conéctese en la mañana porfavor Respuesta de Servicio Técnico Movistar."
0,"Ya quiero tener Pin, tengo que llamar a Movistar"
0,"Llevo horas intentando entrar en la pág. de Movistar para recargar y no abre, qué mierda."
1,Acabo de calificar Starbucks con 4 estrellas en @GooglePlaces Le gustó: Frapuccino y galleta de chocolate. http://goo.gl/qC6st.
0,"Odio @telcel  es un robo!!! De la nada me bajan mas de $20 en cuestión de segundos, sin ocupar el teléfono. Es una porquería"
0,espero que no estés así esta noche #movistar odio que se me corten las llamadas =S
0,Pues yo no se Uds. @iusacell dice q tiene red 4G pero yo con @Telcel tengo 5G :P jajaja  http://lockerz.com/s/119233640
0,"Alguien sabe si #telcel tiene problemas en la red, de repente se me cortan las llamadas y hay localidades que no pueden marcar a los telcel"
0,"@yaazminx3: Ayer mi EDGE se puso edge una mierda con #telcel, horas sin internet en mi telefono El mio tmb ’_ toda la nocheee):"
0,Telcel gracias por hacerme la vida imposible!!!!
0,Ahora telcel llena mi bandeja de mensajes :3 Antes lo hacías tu&lt;/3 Todo es hermoso cuando estás aqui. Pero cuando te vas es diferente.
0,Pinche #Telcel rata de MIERDA!!!
0,Desde las 8:55pm no tengo data... Gracias a la eficiencia de movistar...
0,A quien mas le esta molestando #Telmex
0,#Típico que el de la caja del Starbucks se anda ligando a tus acompañantes.
0,"Movistar no tiene perdon! RT @daniielasays Me dan risa las actualizaciónes, todo el mundo maldiciendo a movistar"
0,"senores MOVISTAR ESTA LOCO ....no me llegan los sms, asi q no me formen los pedos a mi si no a movistar. GRACIAS"
0,Soy yo o no hay red ni Internet en #Telcel?
0,Soy más mala que la señal de iusacell
0,Esto va pa largo #nomamar #Telcel
0,Movistar no me deja pasar credito -.- #TeOdio
0,telcel de putas no me deja actualizar mi android
1,#Yque se me antojo un STARBUCKS ! :p mañana ire por el ...
0,"No he podido twittear en la noche, dado que @IUSACELL me tiene aislado,"
0,no puedo creer que enrealidad valla a llamar de mi casa a un movistar D:
0,Lo primero que haré cuando tenga dinero será irme sólo a starbucks o a la pizzeria xD.
1,ayer me tome el starbucks que estuve esperando por añooooooooos (dias) #quefelizsoy
1,Movistar despliega en Campus Party el nuevo protocolo de Internet IPv6: Movistar desplegará por primera vez en laŠ—_
1,Internet hogar de movistar es una mierda y el servicio tecnico ni hablar
0,Definitivamente movistar y mi telefono me tienen loco... #fail
0,"En México, el servicio de mensajería por lechuzas sería más eficiente que @Telcel. #LCV"
0,"Hay telmex que falla y falla, claro que los cobros si llegan puntales  malo malo =/"
0,UFF Fallas en interr de la Office :s @Edgar_Rm aki está un T’åcnico de Telmex deberias de ser t’_!! :( jaja qe chidoo!1 pero ps noo TQmm
0,Sufriendo porque #telcel no explica los costos y se cobra a lo chino
0,Muy mal ha estado la conexión de los teléfonos Movistar hoy :S @MovistarVe ya envíe el correo y aun nada
0,y que Telcel no quiere que hable contigo ... jeje...
1,"Mi mes gratis de internet se acaba hoy o mañana :/, tengo que ir a Telcel!"
0,P’åsimo el servicio de internet en mi linea de BB . . Y eso solo sucede en telcel
0,"Q onda con las sritas de atención a clientes en megacable?!pésimo servicio!feas,nefastas y groseras!!cancelare!!!"
0,Telmex realiza y hace lo que quiere y los medios no lo atacan saben porque la pauta publicitaria de ellos compra esconder sus fechorias
